Tanggal,Harga,Garut_PRECTOTCORR,Garut_T2M,Garut_RH2M
2025-09-26,57600,7.56,22.95,90.48
2025-09-29,50300,12.56,23.49,90.76
2025-09-30,50300,14.06,22.44,93.99
2025-10-01,50300,6.57,23.03,91.21
2025-10-02,50300,14.38,22.98,89.91
2025-10-03,49050,3.03,24.01,81.99
2025-10-06,50300,5.01,22.56,91.0
2025-10-07,50300,0.13,22.91,88.38
2025-10-08,50300,6.04,22.42,89.26
2025-10-09,54050,14.59,22.42,87.53
2025-10-10,54050,42.24,22.6,88.81
2025-10-13,54050,26.31,23.64,90.29
2025-10-14,54050,1.23,23.72,91.88
2025-10-15,51550,0.27,23.85,90.27
2025-10-16,50300,0.81,23.68,89.71
2025-10-17,50300,5.03,23.6,90.92
2025-10-20,47850,3.11,24.09,87.9
2025-10-21,47850,22.76,24.08,87.68
2025-10-22,46700,26.64,23.39,88.06
2025-10-23,46700,33.28,22.4,90.37
2025-10-24,46700,31.0,22.91,91.83
2025-10-27,46700,9.94,22.77,93.88
2025-10-28,46700,13.89,23.21,92.6
2025-10-29,46700,12.03,22.56,94.37
2025-10-30,46700,8.1,22.41,93.64
2025-10-31,45550,17.81,23.32,90.43
2025-11-03,45550,7.76,23.09,88.97
2025-11-04,45550,4.58,23.65,86.31
2025-11-05,45550,7.22,23.36,89.63
2025-11-06,47950,15.42,22.96,91.57
2025-11-07,47950,10.8,23.48,88.32
2025-11-10,49100,4.11,23.7,87.83
2025-11-11,49100,28.82,23.1,90.44
2025-11-12,49100,6.88,22.73,87.7
2025-11-13,49100,8.25,22.98,88.48
2025-11-14,49100,6.98,23.29,89.45
2025-11-17,51600,6.01,23.22,91.92
2025-11-18,52850,10.07,23.04,89.37
2025-11-19,56550,14.16,23.48,86.54
2025-11-20,56550,13.56,23.07,89.79
2025-11-21,56550,22.9,23.54,86.17
2025-11-24,56550,1.14,23.34,88.52
2025-11-25,56550,0.35,23.75,85.42
2025-11-26,57700,0.58,23.66,87.1
2025-11-27,57700,2.64,23.7,88.69
2025-11-28,60100,0.76,23.17,88.07
2025-12-01,68750,10.77,23.1,87.6
2025-12-02,73650,10.81,23.46,87.09
2025-12-03,73650,10.89,23.54,87.61
2025-12-04,73650,32.95,22.48,92.01
2025-12-05,78600,25.92,22.78,87.44
2025-12-08,88500,2.9,22.65,92.02
2025-12-09,90900,0.91,22.7,91.63
2025-12-10,90900,3.77,23.27,88.59
