ds,is_ramadan,is_idul_fitri,is_idul_adha
2025-09-29,0,0,0
2025-10-06,0,0,0
2025-10-13,0,0,0
2025-10-20,0,0,0
2025-10-27,0,0,0
2025-11-03,0,0,0
2025-11-10,0,0,0
2025-11-17,0,0,0
2025-11-24,0,0,0
2025-12-01,0,0,0
2025-12-08,0,0,0
2025-12-15,0,0,0
2025-12-22,0,0,0
2025-12-29,0,0,0
2026-01-05,0,0,0
2026-01-12,0,0,0
2026-01-19,0,0,0
2026-01-26,0,0,0
2026-02-02,0,0,0
2026-02-09,0,0,0
2026-02-16,0,0,0
2026-02-23,1,0,0
2026-03-02,1,0,0
2026-03-09,1,0,0
2026-03-16,1,0,0
2026-03-23,1,1,0
2026-03-30,0,0,0
2026-04-06,0,0,0
2026-04-13,0,0,0
2026-04-20,0,0,0
2026-04-27,0,0,0
2026-05-04,0,0,0
2026-05-11,0,0,0
2026-05-18,0,0,0
2026-05-25,0,0,0
2026-06-01,0,0,1
2026-06-08,0,0,0
2026-06-15,0,0,0
2026-06-22,0,0,0
2026-06-29,0,0,0
2026-07-06,0,0,0
2026-07-13,0,0,0
