Tanggal,Harga_Bandung,Garut_PRECTOTCORR,Garut_T2M,Garut_RH2M
2022-01-03,77400.0,2.65,22.0,88.45
2022-01-04,77050.0,0.09,22.78,81.91
2022-01-05,75450.0,4.52,23.36,86.26
2022-01-06,64250.0,21.95,23.45,88.34
2022-01-07,64250.0,44.62,22.81,90.41
2022-01-08,64250.0,6.13,23.74,87.08
2022-01-09,64250.0,17.08,23.66,89.65
2022-01-10,64250.0,13.68,23.68,89.61
2022-01-11,64000.0,12.93,22.8,91.9
2022-01-12,63400.0,13.8,22.04,92.95
2022-01-13,51650.0,9.2,22.21,90.73
2022-01-14,51650.0,2.35,22.41,88.57
2022-01-15,51650.0,3.12,22.9,89.01
2022-01-16,51650.0,0.89,22.97,89.37
2022-01-17,51650.0,8.26,23.43,86.65
2022-01-18,51550.0,11.7,22.97,91.49
2022-01-19,51550.0,29.95,22.56,90.72
2022-01-20,47350.0,2.82,21.74,91.51
2022-01-21,47350.0,2.43,22.74,89.17
2022-01-22,47350.0,0.76,23.31,86.46
2022-01-23,47350.0,2.46,23.79,87.3
2022-01-24,47350.0,5.52,23.72,86.67
2022-01-25,47200.0,1.96,23.67,88.15
2022-01-26,46850.0,0.66,23.5,88.07
2022-01-27,39400.0,1.87,23.21,87.8
2022-01-28,39150.0,1.88,23.17,86.4
2022-01-29,39150.0,2.0,23.53,85.54
2022-01-30,39150.0,1.82,23.99,86.41
2022-01-31,39150.0,10.16,23.17,89.83
2022-02-01,39150.0,13.87,23.19,85.13
2022-02-02,39050.0,7.1,22.66,88.09
2022-02-03,39300.0,9.23,23.38,85.4
2022-02-04,39300.0,10.97,23.44,88.1
2022-02-05,39300.0,13.88,23.26,90.61
2022-02-06,39300.0,9.09,22.67,90.97
2022-02-07,39300.0,7.29,22.39,93.22
2022-02-08,39300.0,11.6,22.78,90.32
2022-02-09,39650.0,14.62,22.82,89.93
2022-02-10,42850.0,2.22,23.12,86.8
2022-02-11,42850.0,0.47,22.73,88.12
2022-02-12,42850.0,0.98,22.67,90.98
2022-02-13,42850.0,2.88,22.49,92.06
2022-02-14,42850.0,4.05,22.66,90.98
2022-02-15,42900.0,9.3,23.09,87.35
2022-02-16,42900.0,6.59,22.92,87.88
2022-02-17,45550.0,14.25,22.93,90.07
2022-02-18,45550.0,8.23,22.55,90.39
2022-02-19,45550.0,12.99,23.32,88.42
2022-02-20,45550.0,8.77,23.22,87.42
2022-02-21,45550.0,5.24,23.46,85.75
2022-02-22,45550.0,28.33,23.05,84.81
2022-02-23,46050.0,11.12,22.83,84.94
2022-02-24,52350.0,9.23,23.17,85.82
2022-02-25,52350.0,1.86,22.85,85.93
2022-02-26,52350.0,1.26,22.37,87.13
2022-02-27,52350.0,7.82,22.62,85.73
2022-02-28,52350.0,2.88,22.92,85.4
2022-03-01,52650.0,2.84,22.8,85.99
2022-03-02,57300.0,8.22,23.01,87.86
2022-03-03,58700.0,5.49,23.04,85.48
2022-03-04,58700.0,7.88,23.07,88.7
2022-03-05,58700.0,31.39,23.05,90.25
2022-03-06,58700.0,16.01,22.78,90.27
2022-03-07,58700.0,16.26,22.49,91.7
2022-03-08,58850.0,8.41,23.61,84.19
2022-03-09,59000.0,15.28,23.07,88.71
2022-03-10,61250.0,18.22,23.12,87.07
2022-03-11,61250.0,40.29,23.32,90.19
2022-03-12,61250.0,13.43,23.6,89.97
2022-03-13,61250.0,10.74,23.81,87.53
2022-03-14,61250.0,26.87,23.88,91.31
2022-03-15,61100.0,11.54,22.03,91.96
2022-03-16,60800.0,0.85,23.11,87.44
2022-03-17,55250.0,3.49,23.66,88.66
2022-03-18,55300.0,9.13,23.84,92.45
2022-03-19,55300.0,13.93,23.69,89.35
2022-03-20,55300.0,3.75,23.38,89.61
2022-03-21,55300.0,2.27,22.75,87.14
2022-03-22,55300.0,8.02,22.55,87.08
2022-03-23,55150.0,7.26,23.02,87.28
2022-03-24,53050.0,0.42,23.4,82.07
2022-03-25,51650.0,8.43,23.45,89.79
2022-03-26,51650.0,15.41,22.92,89.13
2022-03-27,51650.0,16.79,23.63,86.18
2022-03-28,51650.0,11.8,23.59,87.06
2022-03-29,51450.0,0.29,23.57,86.2
2022-03-30,51400.0,1.63,23.72,85.4
2022-03-31,51200.0,23.86,23.16,89.59
2022-04-01,51200.0,3.32,23.46,81.92
2022-04-02,51200.0,5.22,23.56,86.02
2022-04-03,51200.0,12.75,22.56,92.89
2022-04-04,51200.0,10.05,23.05,85.63
2022-04-05,51100.0,14.43,23.6,86.84
2022-04-06,51300.0,5.51,23.28,88.22
2022-04-07,53250.0,5.88,23.06,86.03
2022-04-08,53250.0,9.02,22.78,89.08
2022-04-09,53250.0,8.93,23.24,86.83
2022-04-10,53250.0,11.87,23.04,90.01
2022-04-11,53250.0,12.65,23.12,90.03
2022-04-12,52950.0,25.36,23.71,89.76
2022-04-13,52350.0,6.93,23.27,89.56
2022-04-14,40250.0,1.77,23.45,89.12
2022-04-15,38250.0,14.28,23.73,89.47
2022-04-16,38250.0,7.23,24.11,87.63
2022-04-17,38250.0,5.78,23.97,89.85
2022-04-18,38250.0,12.54,24.32,87.51
2022-04-19,38250.0,56.12,23.32,92.48
2022-04-20,38300.0,26.43,22.76,94.28
2022-04-21,37750.0,33.12,22.68,92.2
2022-04-22,37750.0,5.6,23.21,90.85
2022-04-23,37750.0,2.31,23.96,85.45
