komoditas,tanggal,harga
Bawang Merah,2022-01-03,28750
Bawang Merah,2022-01-04,28750
Bawang Merah,2022-01-05,28750
Bawang Merah,2022-01-06,28750
Bawang Merah,2022-01-07,28750
Bawang Merah,2022-01-10,28750
Bawang Merah,2022-01-11,28750
Bawang Merah,2022-01-12,28750
Bawang Merah,2022-01-13,28750
Bawang Merah,2022-01-14,28750
Bawang Merah,2022-01-17,28750
Bawang Merah,2022-01-18,28750
Bawang Merah,2022-01-19,28750
Bawang Merah,2022-01-20,28750
Bawang Merah,2022-01-21,28750
Bawang Merah,2022-01-24,28750
Bawang Merah,2022-01-25,28750
Bawang Merah,2022-01-26,28750
Bawang Merah,2022-01-27,28750
Bawang Merah,2022-01-28,28750
Bawang Merah,2022-01-31,28750
Bawang Merah,2022-02-02,32500
Bawang Merah,2022-02-03,32500
Bawang Merah,2022-02-04,31750
Bawang Merah,2022-02-07,31750
Bawang Merah,2022-02-08,31750
Bawang Merah,2022-02-09,31750
Bawang Merah,2022-02-10,31750
Bawang Merah,2022-02-11,34250
Bawang Merah,2022-02-14,38750
Bawang Merah,2022-02-15,38750
Bawang Merah,2022-02-16,38750
Bawang Merah,2022-02-17,38750
Bawang Merah,2022-02-18,38750
Bawang Merah,2022-02-21,37500
Bawang Merah,2022-02-22,37500
Bawang Merah,2022-02-23,37500
Bawang Merah,2022-02-24,37500
Bawang Merah,2022-02-25,37500
Bawang Merah,2022-03-01,37500
Bawang Merah,2022-03-02,37500
Bawang Merah,2022-03-04,37500
Bawang Merah,2022-03-07,37500
Bawang Merah,2022-03-08,37500
Bawang Merah,2022-03-09,37500
Bawang Merah,2022-03-10,37000
Bawang Merah,2022-03-11,37000
Bawang Merah,2022-03-14,37000
Bawang Merah,2022-03-15,37000
Bawang Merah,2022-03-16,37000
Bawang Merah,2022-03-17,37000
Bawang Merah,2022-03-18,37000
Bawang Merah,2022-03-21,36500
Bawang Merah,2022-03-22,36500
Bawang Merah,2022-03-23,36500
Bawang Merah,2022-03-24,36500
Bawang Merah,2022-03-25,36500
Bawang Merah,2022-03-28,36250
Bawang Merah,2022-03-29,36250
Bawang Merah,2022-03-30,36250
Bawang Merah,2022-03-31,36250
Bawang Merah,2022-04-01,36250
Bawang Merah,2022-04-04,36250
Bawang Merah,2022-04-05,40000
Bawang Merah,2022-04-06,40750
Bawang Merah,2022-04-07,40750
Bawang Merah,2022-04-08,40750
Bawang Merah,2022-04-11,40000
Bawang Merah,2022-04-12,40000
Bawang Merah,2022-04-13,40000
Bawang Merah,2022-04-14,40000
Bawang Merah,2022-04-18,40000
Bawang Merah,2022-04-19,40000
Bawang Merah,2022-04-20,40000
Bawang Merah,2022-04-21,40000
Bawang Merah,2022-04-22,40000
Bawang Merah,2022-04-25,43250
Bawang Merah,2022-04-26,43250
Bawang Merah,2022-04-27,43250
Bawang Merah,2022-04-28,43250
Bawang Merah,2022-05-09,42250
Bawang Merah,2022-05-10,42250
Bawang Merah,2022-05-11,42250
Bawang Merah,2022-05-12,42250
Bawang Merah,2022-05-13,42250
Bawang Merah,2022-05-17,43750
Bawang Merah,2022-05-18,46250
Bawang Merah,2022-05-19,46250
Bawang Merah,2022-05-20,46250
Bawang Merah,2022-05-23,46250
Bawang Merah,2022-05-24,46250
Bawang Merah,2022-05-25,47500
Bawang Merah,2022-05-27,47500
Bawang Merah,2022-05-30,47000
Bawang Merah,2022-05-31,47000
Bawang Merah,2022-06-02,47000
Bawang Merah,2022-06-03,47000
Bawang Merah,2022-06-06,47000
Bawang Merah,2022-06-07,47000
Bawang Merah,2022-06-08,48750
Bawang Merah,2022-06-09,48750
Bawang Merah,2022-06-10,48750
Bawang Merah,2022-06-13,48750
Bawang Merah,2022-06-14,48750
Bawang Merah,2022-06-15,53750
Bawang Merah,2022-06-16,56250
Bawang Merah,2022-06-17,56250
Bawang Merah,2022-06-20,57500
Bawang Merah,2022-06-21,57500
Bawang Merah,2022-06-22,57500
Bawang Merah,2022-06-23,57500
Bawang Merah,2022-06-24,57500
Bawang Merah,2022-06-27,57500
Bawang Merah,2022-06-28,57000
Bawang Merah,2022-06-29,57000
Bawang Merah,2022-06-30,57000
Bawang Merah,2022-07-01,57000
Bawang Merah,2022-07-04,61250
Bawang Merah,2022-07-05,61250
Bawang Merah,2022-07-06,61250
Bawang Merah,2022-07-07,66250
Bawang Merah,2022-07-08,66250
Bawang Merah,2022-07-11,65500
Bawang Merah,2022-07-12,65500
Bawang Merah,2022-07-13,65500
Bawang Merah,2022-07-14,65500
Bawang Merah,2022-07-15,65500
Bawang Merah,2022-07-18,71250
Bawang Merah,2022-07-19,71250
Bawang Merah,2022-07-20,71250
Bawang Merah,2022-07-21,68750
Bawang Merah,2022-07-22,60000
