komoditas,tanggal,harga
Telur Ayam Ras,2022-01-03,29000
Telur Ayam Ras,2022-01-04,29000
Telur Ayam Ras,2022-01-05,29000
Telur Ayam Ras,2022-01-06,25000
Telur Ayam Ras,2022-01-07,25000
Telur Ayam Ras,2022-01-08,25000
Telur Ayam Ras,2022-01-09,25000
Telur Ayam Ras,2022-01-10,25000
Telur Ayam Ras,2022-01-11,25000
Telur Ayam Ras,2022-01-12,25000
Telur Ayam Ras,2022-01-13,23000
Telur Ayam Ras,2022-01-14,23000
Telur Ayam Ras,2022-01-15,23000
Telur Ayam Ras,2022-01-16,23000
Telur Ayam Ras,2022-01-17,23000
Telur Ayam Ras,2022-01-18,23000
Telur Ayam Ras,2022-01-19,23000
Telur Ayam Ras,2022-01-20,18750
Telur Ayam Ras,2022-01-21,18750
Telur Ayam Ras,2022-01-22,18750
Telur Ayam Ras,2022-01-23,18750
Telur Ayam Ras,2022-01-24,18750
Telur Ayam Ras,2022-01-25,18750
Telur Ayam Ras,2022-01-26,18750
Telur Ayam Ras,2022-01-27,18750
Telur Ayam Ras,2022-01-28,18750
Telur Ayam Ras,2022-01-29,18750
Telur Ayam Ras,2022-01-30,18750
Telur Ayam Ras,2022-01-31,18750
Telur Ayam Ras,2022-02-01,18750
Telur Ayam Ras,2022-02-02,18750
Telur Ayam Ras,2022-02-03,18250
Telur Ayam Ras,2022-02-04,18250
Telur Ayam Ras,2022-02-05,18250
Telur Ayam Ras,2022-02-06,18250
Telur Ayam Ras,2022-02-07,18250
Telur Ayam Ras,2022-02-08,18250
Telur Ayam Ras,2022-02-09,18250
Telur Ayam Ras,2022-02-10,18250
Telur Ayam Ras,2022-02-11,18250
Telur Ayam Ras,2022-02-12,18250
Telur Ayam Ras,2022-02-13,18250
Telur Ayam Ras,2022-02-14,18250
Telur Ayam Ras,2022-02-15,18250
Telur Ayam Ras,2022-02-16,18250
Telur Ayam Ras,2022-02-17,19250
Telur Ayam Ras,2022-02-18,19250
Telur Ayam Ras,2022-02-19,19250
Telur Ayam Ras,2022-02-20,19250
Telur Ayam Ras,2022-02-21,19250
Telur Ayam Ras,2022-02-22,19250
Telur Ayam Ras,2022-02-23,19250
Telur Ayam Ras,2022-02-24,20250
Telur Ayam Ras,2022-02-25,20250
Telur Ayam Ras,2022-02-26,20250
Telur Ayam Ras,2022-02-27,20250
Telur Ayam Ras,2022-02-28,20250
Telur Ayam Ras,2022-03-01,20250
Telur Ayam Ras,2022-03-02,20250
Telur Ayam Ras,2022-03-03,20250
Telur Ayam Ras,2022-03-04,20250
Telur Ayam Ras,2022-03-05,20250
Telur Ayam Ras,2022-03-06,20250
Telur Ayam Ras,2022-03-07,20250
Telur Ayam Ras,2022-03-08,20250
Telur Ayam Ras,2022-03-09,20250
Telur Ayam Ras,2022-03-10,23250
Telur Ayam Ras,2022-03-11,23250
Telur Ayam Ras,2022-03-12,23250
Telur Ayam Ras,2022-03-13,23250
Telur Ayam Ras,2022-03-14,23250
Telur Ayam Ras,2022-03-15,23250
Telur Ayam Ras,2022-03-16,23250
Telur Ayam Ras,2022-03-17,21800
Telur Ayam Ras,2022-03-18,21800
Telur Ayam Ras,2022-03-19,21800
Telur Ayam Ras,2022-03-20,21800
Telur Ayam Ras,2022-03-21,21800
Telur Ayam Ras,2022-03-22,21800
Telur Ayam Ras,2022-03-23,21800
Telur Ayam Ras,2022-03-24,21800
Telur Ayam Ras,2022-03-25,21800
Telur Ayam Ras,2022-03-26,21800
Telur Ayam Ras,2022-03-27,21800
Telur Ayam Ras,2022-03-28,21800
Telur Ayam Ras,2022-03-29,21800
Telur Ayam Ras,2022-03-30,21800
Telur Ayam Ras,2022-03-31,22900
Telur Ayam Ras,2022-04-01,22900
Telur Ayam Ras,2022-04-02,22900
Telur Ayam Ras,2022-04-03,22900
Telur Ayam Ras,2022-04-04,22900
Telur Ayam Ras,2022-04-05,22900
Telur Ayam Ras,2022-04-06,22900
Telur Ayam Ras,2022-04-07,23250
Telur Ayam Ras,2022-04-08,23250
Telur Ayam Ras,2022-04-09,23250
Telur Ayam Ras,2022-04-10,23250
Telur Ayam Ras,2022-04-11,23250
Telur Ayam Ras,2022-04-12,23250
Telur Ayam Ras,2022-04-13,23250
Telur Ayam Ras,2022-04-14,21850
Telur Ayam Ras,2022-04-15,21850
Telur Ayam Ras,2022-04-16,21850
Telur Ayam Ras,2022-04-17,21850
Telur Ayam Ras,2022-04-18,21850
Telur Ayam Ras,2022-04-19,21850
Telur Ayam Ras,2022-04-20,21850
Telur Ayam Ras,2022-04-21,24250
Telur Ayam Ras,2022-04-22,24250
Telur Ayam Ras,2022-04-23,24250
Telur Ayam Ras,2022-04-24,24250
Telur Ayam Ras,2022-04-25,24250
Telur Ayam Ras,2022-04-26,24250
Telur Ayam Ras,2022-04-27,24250
Telur Ayam Ras,2022-04-28,25250
Telur Ayam Ras,2022-04-29,25250
Telur Ayam Ras,2022-04-30,25250
Telur Ayam Ras,2022-05-01,25250
Telur Ayam Ras,2022-05-02,25250
Telur Ayam Ras,2022-05-03,25250
Telur Ayam Ras,2022-05-04,25250
Telur Ayam Ras,2022-05-05,25250
Telur Ayam Ras,2022-05-06,25250
Telur Ayam Ras,2022-05-07,25250
Telur Ayam Ras,2022-05-08,25250
Telur Ayam Ras,2022-05-09,25250
Telur Ayam Ras,2022-05-10,25250
Telur Ayam Ras,2022-05-11,25250
Telur Ayam Ras,2022-05-12,26000
Telur Ayam Ras,2022-05-13,26000
Telur Ayam Ras,2022-05-14,26000
Telur Ayam Ras,2022-05-15,26000
Telur Ayam Ras,2022-05-16,26000
Telur Ayam Ras,2022-05-17,26000
Telur Ayam Ras,2022-05-18,26000
Telur Ayam Ras,2022-05-19,25250
Telur Ayam Ras,2022-05-20,25250
Telur Ayam Ras,2022-05-21,25250
